cubin,kernel,total_inst,HMMA,IMMA,LDSM,LDS,STS,LDGSTS,LDG,STG,FFMA,FADD,FMUL,FSEL,MUFU,SHFL,IADD3,IMAD,ISETP,LOP3,BRA,EXIT,BAR,BARRIER,WARPSYNC,NOP,S2R,other,useful_pct
kernels/convolution/conv2d/conv2d_implicit_gemm_v2.sm_86.cubin,implicit_gemm_conv_v2,1024,32,0,16,48,42,2,22,16,0,0,0,0,6,0,84,285,95,40,42,2,4,0,4,10,8,266,3.1
kernels/convolution/resblock/resblock.sm_86.cubin,residual_add,32,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3,1,0,1,2,0,0,0,15,2,4,3.1
kernels/tutorial/vector_add.sm_86.cubin,vector_add,32,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4,1,0,1,2,0,0,0,15,2,3,3.1
kernels/gemm/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_col,280,0,0,1,0,5,0,0,80,0,8,0,0,0,0,22,44,4,16,6,1,0,0,0,16,2,75,2.9
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_col,280,0,0,1,0,5,0,0,80,0,8,0,0,0,0,22,44,4,16,6,1,0,0,0,16,2,75,2.9
kernels/gemm/hgemm/hgemm.sm_86.cubin,hgemm_wmma,392,10,0,0,0,0,0,40,8,0,0,0,0,0,0,25,79,24,15,13,3,0,0,17,13,16,129,2.6
experiments/rust-experiments/vecadd_oxide.sm_86.cubin,vecadd,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,7,1,1,4,0,0,0,13,2,9,2.1
kernels/gemm/hgemm/hgemm_16warp_splitk.sm_86.cubin,hgemm_16warp_splitk,1504,32,0,16,144,48,4,28,128,0,0,0,0,1,0,140,443,81,54,51,3,2,0,5,21,12,291,2.1
kernels/convolution/conv2d/conv2d_im2col.sm_86.cubin,wmma_gemm_conv,544,8,0,5,0,14,0,14,16,0,0,0,0,0,0,37,128,40,21,23,3,2,0,0,9,7,217,1.5
kernels/convolution/conv2d/conv2d_implicit_gemm.sm_86.cubin,implicit_gemm_conv,672,8,0,5,18,22,0,10,16,0,0,0,0,4,0,53,178,56,27,27,3,4,0,0,12,11,218,1.2
kernels/gemm/hgemm_sparse/hgemm_sparse_naive.sm_86.cubin,hgemm_sparse_naive,456,2,0,0,10,14,0,14,8,0,0,0,0,0,0,21,101,52,20,25,3,0,0,0,11,2,173,0.4
kernels/composition/attention_layer/utils.sm_86.cubin,transpose_bhsd,112,0,0,0,0,0,0,1,1,0,0,0,0,3,0,13,38,13,6,1,2,0,0,0,12,2,20,0
kernels/composition/attention_layer/utils.sm_86.cubin,transpose_bshd,112,0,0,0,0,0,0,1,1,0,0,0,0,3,0,13,38,13,6,1,2,0,0,0,12,2,20,0
kernels/composition/attention_layer/utils.sm_86.cubin,fp16_to_fp32,40,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,7,4,0,1,2,0,0,0,8,2,5,0
kernels/composition/attention_layer/utils.sm_86.cubin,fp32_to_fp16,40,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,7,4,0,1,2,0,0,0,8,2,5,0
kernels/convolution/conv2d/conv2d_im2col.sm_86.cubin,im2col_nhwc_fp16,288,0,0,0,0,0,0,1,1,0,0,0,0,6,0,39,112,34,10,5,2,0,0,0,10,2,66,0
kernels/elementwise/activations/activations_fast.sm_86.cubin,relu_kernel,48,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,6,4,0,1,5,0,0,0,14,2,5,0
kernels/elementwise/activations/activations.sm_86.cubin,relu_kernel,48,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,6,4,0,1,5,0,0,0,14,2,5,0
